Date,Total Bonds and Securities ($million)
31-Jan-2017,14326
28-Feb-2017,12480
31-Mar-2017,13414
28-Apr-2017,13514
31-May-2017,13568
30-Jun-2017,13736
31-Jul-2017,9197
31-Aug-2017,9580
29-Sep-2017,6161
31-Oct-2017,4314
30-Nov-2017,4619
29-Dec-2017,4994
31-Jan-2018,3748
28-Feb-2018,3785
30-Mar-2018,4147
30-Apr-2018,5369
31-May-2018,9641
29-Jun-2018,10245
31-Jul-2018,6890
31-Aug-2018,4266
28-Sep-2018,5413
31-Oct-2018,4527
30-Nov-2018,4815
31-Dec-2018,5285
31-Jan-2019,7394
28-Feb-2019,9727
29-Mar-2019,5407
30-Apr-2019,6330
31-May-2019,8035
28-Jun-2019,9013
31-Jul-2019,10951
30-Aug-2019,11739
30-Sep-2019,13727
31-Oct-2019,9596
29-Nov-2019,10428
31-Dec-2019,12116
31-Jan-2020,15588
28-Feb-2020,16349
31-Mar-2020,43961
30-Apr-2020,58030
29-May-2020,61436
30-Jun-2020,65301
31-Jul-2020,65663
31-Aug-2020,76457
30-Sep-2020,78507
30-Oct-2020,78507
30-Nov-2020,94847
31-Dec-2020,114847
29-Jan-2021,129847
26-Feb-2021,156847
31-Mar-2021,181747
30-Apr-2021,201496
31-May-2021,215894
30-Jun-2021,232696
30-Jul-2021,254392
31-Aug-2021,274432
30-Sep-2021,293957
29-Oct-2021,308662
30-Nov-2021,326301
31-Dec-2021,336675
31-Jan-2022,349458
28-Feb-2022,355845
31-Mar-2022,355682
29-Apr-2022,355616
31-May-2022,355673
30-Jun-2022,355697
29-Jul-2022,353065
31-Aug-2022,353054
30-Sep-2022,352950
31-Oct-2022,352476
30-Nov-2022,350391
30-Dec-2022,350352
31-Jan-2023,350457
28-Feb-2023,350470
31-Mar-2023,350518
28-Apr-2023,337070
31-May-2023,337162
30-Jun-2023,337095
31-Jul-2023,336959
31-Aug-2023,336949
29-Sep-2023,336947
31-Oct-2023,336753
