Date,Liabilities ($Million)
31/01/2007,5586.8
28/02/2007,5405.1
31/03/2007,5699.6
30/04/2007,5012.3
31/05/2007,5325.1
30/06/2007,5954.8
31/07/2007,7375.7
31/08/2007,5260.1
30/09/2007,9250.7
31/10/2007,8432.8
30/11/2007,7752.0
31/12/2007,8457.1
31/01/2008,6725.4
29/02/2008,8285.1
31/03/2008,8892.0
30/04/2008,6840.2
31/05/2008,7638.3
30/06/2008,18960.8
31/07/2008,18280.9
31/08/2008,15997.2
30/09/2008,15176.9
31/10/2008,17595.6
30/11/2008,16346.1
31/12/2008,16567.7
31/01/2009,17047.4
28/02/2009,17297.3
31/03/2009,19349.7
30/04/2009,18680.8
31/05/2009,17564.3
30/06/2009,18551.9
31/07/2009,18909.9
31/08/2009,19820.8
30/09/2009,21567.1
31/10/2009,21816.1
30/11/2009,22146.0
31/12/2009,19760.2
31/01/2010,21237.7
28/02/2010,19004.7
31/03/2010,18975.0
30/04/2010,17914.4
31/05/2010,19600.0
30/06/2010,14599.8
31/07/2010,14462.3
31/08/2010,14918.7
30/09/2010,13851.5
31/10/2010,12869.6
30/11/2010,13206.1
31/12/2010,13526.7
31/01/2011,12368.4
28/02/2011,12571.5
31/03/2011,12248.5
30/04/2011,11698.4
31/05/2011,12980.9
30/06/2011,11182.4
31/07/2011,11153.1
31/08/2011,12572.8
30/09/2011,12543.6
31/10/2011,11639.1
30/11/2011,12342.7
31/12/2011,11833.8
31/01/2012,11675.8
29/02/2012,12941.6
31/03/2012,13558.8
30/04/2012,12306.2
31/05/2012,13131.3
30/06/2012,12140.6
31/07/2012,17246.4
31/08/2012,17007.8
30/09/2012,17228.8
31/10/2012,15664.2
30/11/2012,16101.4
31/12/2012,16120.5
31/01/2013,15014.5
28/02/2013,16712.6
31/03/2013,16738.2
30/04/2013,15287.1
31/05/2013,16076.5
30/06/2013,16344.3
31/07/2013,17857.9
31/08/2013,17845.4
30/09/2013,19626.8
31/10/2013,17227.2
30/11/2013,17189.8
31/12/2013,17421.0
31/01/2014,16672.9
28/02/2014,16963.5
31/03/2014,16022.7
30/04/2014,16718.0
31/05/2014,15613.2
30/06/2014,13402.9
31/07/2014,16200.1
31/08/2014,16842.5
30/09/2014,16323.9
31/10/2014,15996.5
30/11/2014,17132.7
31/12/2014,17387.0
31/01/2015,17881.8
28/02/2015,17129.6
31/03/2015,16633.7
30/04/2015,17350.9
31/05/2015,16156.4
30/06/2015,16080.8
31/07/2015,16964.2
31/08/2015,16836.3
30/09/2015,17077.5
31/10/2015,17260.5
30/11/2015,17154.0
31/12/2015,15351.2
31/01/2016,15454.1
29/02/2016,17120.1
31/03/2016,16033.6
30/04/2016,16984.1
31/05/2016,15975.4
30/06/2016,15132.4
31/07/2016,16467.5
31/08/2016,16391.2
30/09/2016,17699.7
31/10/2016,17703.8
30/11/2016,16743.5
31/12/2016,15457.7
31/01/2017,16075.7
28/02/2017,17019.8
31/03/2017,16300.1
30/04/2017,16373.7
31/05/2017,16041.8
30/06/2017,15172.0
31/07/2017,18635.2
31/08/2017,17924.6
30/09/2017,17947.7
31/10/2017,17102.8
30/11/2017,16227.6
31/12/2017,15850.0
31/01/2018,16723.4
28/02/2018,16585.3
31/03/2018,17059.4
30/04/2018,16283.0
31/05/2018,15425.9
30/06/2018,15212.0
31/07/2018,16562.8
31/08/2018,16043.9
30/09/2018,15786.7
31/10/2018,15098.5
30/11/2018,15342.5
31/12/2018,15020.6
31/01/2019,15612.7
28/02/2019,14042.3
31/03/2019,14625.8
30/04/2019,14635.9
31/05/2019,13560.1
30/06/2019,14254.4
31/07/2019,13017.1
31/08/2019,14904.5
30/09/2019,14448.3
31/10/2019,13643.9
30/11/2019,13440.7
31/12/2019,13199.9
31/01/2020,15958.1
29/02/2020,17261.9
31/03/2020,22628.9
30/04/2020,20237.8
31/05/2020,19408.4
30/06/2020,19220.1
31/07/2020,20703.4
31/08/2020,20571.1
30/09/2020,19418.3
31/10/2020,20933.8
30/11/2020,21409.9
31/12/2020,22615.7
31/01/2021,24424.4
28/02/2021,22893.8
31/03/2021,21992.0
30/04/2021,22863.8
31/05/2021,22472.6
30/06/2021,21202.8
31/07/2021,25785.9
31/08/2021,25666.6
30/09/2021,23437.3
31/10/2021,27395.7
30/11/2021,24079.8
31/12/2021,23433.3
31/01/2022,24841.7
28/02/2022,26618.7
31/03/2022,27950.2
30/04/2022,30800.2
31/05/2022,27413.8
30/06/2022,27201.7
31/07/2022,29524.2
31/08/2022,29340.1
30/09/2022,28395.5
31/10/2022,33049.6
30/11/2022,29438.0
31/12/2022,26816.3
31/01/2023,30037.1
28/02/2023,30954.3
31/03/2023,27433.2
30/04/2023,26760.9
31/05/2023,26271.0
30/06/2023,26439.4
31/07/2023,29017.6
31/08/2023,27789.0
30/09/2023,27782.2
31/10/2023,28271.1
30/11/2023,25359.4
31/12/2023,22648.2
