Date,Household saving ratio (%)
1/09/2015,7.2
1/12/2015,5.8
1/03/2016,5.7
1/06/2016,6.1
1/09/2016,6
1/12/2016,5.7
1/03/2017,5.9
1/06/2017,5
1/09/2017,4.6
1/12/2017,5.3
1/03/2018,5.2
1/06/2018,5
1/09/2018,5.1
1/12/2018,6
1/03/2019,6.6
1/06/2019,5.6
1/09/2019,8
1/12/2019,7.1
1/03/2020,9.9
1/06/2020,24
1/09/2020,20.4
1/12/2020,14.2
1/03/2021,14.1
1/06/2021,11.4
1/09/2021,19.2
1/12/2021,12.1
1/03/2022,10.9
1/06/2022,7.3
1/09/2022,7
1/12/2022,3.8
1/03/2023,3.5
1/06/2023,2.8
1/09/2023,1.1
