Date,1$,2$,5$,10$,20$,50$,Total
31/07/1945,16,149,,147,50,,362
24/06/1946,16,143,,158,79,,397
25/06/1947,16,133,,158,97,,405
30/06/1948,17,128,,154,91,,391
29/06/1949,17,130,,170,108,,425
28/06/1950,17,132,,189,124,,462
27/06/1951,18,137,,234,160,,550
25/06/1952,19,136,,282,167,,604
24/06/1953,20,135,,318,183,,656
30/06/1954,20,137,,339,190,,686
29/06/1955,20,136,,355,212,,724
27/06/1956,21,150,,323,249,,744
26/06/1957,22,139,,337,264,,762
25/06/1958,22,137,,345,270,,774
24/06/1959,23,136,,353,277,,789
29/06/1960,24,138,,377,297,,836
28/06/1961,24,136,,372,299,,831
27/06/1962,25,136,,380,307,,848
26/06/1963,26,138,,386,311,,861
24/06/1964,28,141,,391,305,,865
30/06/1965,28,143,,393,297,,862
29/06/1966,32,138,,369,310,,849
28/06/1967,33,128,43,389,345,,938
26/06/1968,35,118,57,401,395,,1006
25/06/1969,38,117,64,441,447,,1107
24/06/1970,40,119,73,474,509,,1215
30/06/1971,42,119,81,521,606,,1369
30/06/1972,44,119,86,564,695,,1508
30/06/1973,48,125,96,643,855,,1767
30/06/1974,54,130,104,708,969,199,2164
30/06/1975,52,129,110,672,1181,401,2545
30/06/1976,54,128,116,655,1334,634,2921
30/06/1977,58,134,123,634,1502,868,3319
30/06/1978,61,137,127,608,1628,1127,3688
30/06/1979,65,140,136,583,1759,1430,4113
30/06/1980,68,144,142,563,1888,1744,4549
30/06/1981,73,150,151,546,2023,2151,5094
30/06/1982,79,158,165,547,2170,2718,5837
30/06/1983,82,164,176,536,2213,3243,6414
